2020-04-15 20:01:59,182: custodian.cache:DEBUG Disabling cache
2020-04-15 20:01:59,183: custodian.commands:DEBUG Loaded file /home/custodian/ebs-snap-policy.yml. Contains 1 policies
2020-04-15 20:01:59,198: custodian.aws:DEBUG using default region:us-west-1 from boto
2020-04-15 20:01:59,546: custodian.reports:DEBUG Found 1083 records for region us-west-1
2020-04-15 20:01:59,547: custodian.reports:DEBUG Uniqued from 1083 to 1083
SnapshotId,VolumeId,tag:InstanceId,VolumeSize,StartTime,State
snap-0d20a35f0470afbc6,vol-01bf4351fbc0ea942,,250,2019-04-03T05:59:44+00:00,completed
snap-042f6cb26de214c07,vol-0740c7f6c7b76a002,,8,2019-03-28T15:02:03+00:00,completed
snap-09ba00d1ce1cc45a5,vol-02e9a679dbffd8489,,100,2019-03-25T12:07:08+00:00,completed
snap-0946dba5c3f5d8695,vol-0c6e40578f7933657,,250,2019-03-25T12:10:14+00:00,completed
snap-04e23e51c5196358a,vol-0c7bf0f4e2f6863bb,,40,2019-03-21T05:41:47+00:00,completed
snap-014bbdca40d888941,vol-0597eb8f34d135ecd,,20,2018-01-31T05:32:45+00:00,completed
snap-0d338045f64ad169a,vol-0c7bf0f4e2f6863bb,,40,2019-03-09T05:56:08+00:00,completed
snap-00f3a18e028ff3ee3,vol-0c7bf0f4e2f6863bb,,40,2019-03-04T06:01:05+00:00,completed
snap-01ad95096e28af1d2,vol-06f973a2d0946145b,,40,2019-03-04T04:25:19+00:00,completed
snap-04d3bef3534c86e4e,vol-06f973a2d0946145b,,40,2019-03-03T06:19:41+00:00,completed
snap-0ec0e14b61fc88bd3,vol-04e140a4fc9c6ca0d,,70,2019-03-03T06:19:41+00:00,completed
snap-002834752f5352672,vol-06f973a2d0946145b,,40,2019-02-27T22:27:49+00:00,completed
snap-022e882b1be52bff9,vol-04e140a4fc9c6ca0d,,70,2019-02-27T22:27:49+00:00,completed
snap-0b241b8b86b027205,vol-0c7bf0f4e2f6863bb,,40,2019-02-15T05:19:51+00:00,completed
snap-0af7b7ce8b22e57b0,vol-0c7bf0f4e2f6863bb,,40,2019-02-08T05:26:05+00:00,completed
snap-03e9a9cb5279be1a2,vol-01bf4351fbc0ea942,,250,2019-02-02T05:01:22+00:00,completed
snap-0417d8dfd9a808ba9,vol-0088665649d8db10f,,20,2019-02-02T04:53:24+00:00,completed
snap-040f021e108a75ae5,vol-02e9a679dbffd8489,,100,2019-02-02T04:53:25+00:00,completed
snap-08e4aa15abf441c10,vol-070e83d1fd767bfb8,,20,2019-02-02T05:01:21+00:00,completed
snap-0d58c3c3eaa8efdc4,vol-0c6e40578f7933657,,250,2019-02-02T04:53:25+00:00,completed
snap-0c7b5e3a76714fb39,vol-03dc1b5440e529777,,20,2019-01-07T13:20:35+00:00,completed
snap-0d7e5941b331d4e9a,vol-04e5c2fa3acb63eec,,100,2019-01-07T13:20:26+00:00,completed
snap-0fcda4f8a7eaa0547,vol-08cdcb254d211636c,,20,2019-01-05T02:13:56+00:00,completed
snap-03989499842cd5b29,vol-0ce9c270386843a8b,,20,2019-01-05T02:09:02+00:00,completed
snap-0e826cdbbd9db40cd,vol-06f973a2d0946145b,,40,2019-01-04T13:20:34+00:00,completed
snap-051dc305a80cfea8e,vol-0597eb8f34d135ecd,,20,2019-01-02T13:20:26+00:00,completed
snap-075fa046c8a83ae2a,vol-02e9a679dbffd8489,,100,2019-01-02T13:20:31+00:00,completed
snap-0da8725bade6b8988,vol-0740c7f6c7b76a002,,8,2019-01-02T13:20:35+00:00,completed
snap-06d461730eb091b8e,vol-065a6906a5a20ed58,,16,2019-01-02T13:20:30+00:00,completed
snap-07edbfa80fbd618c1,vol-02aaf5b8edd0e346a,,8,2019-01-02T13:20:25+00:00,completed
snap-06c583c71fa0e619c,vol-09ac8632c9de5e08b,,20,2019-01-02T13:20:36+00:00,completed
snap-08c5600a8946fd336,vol-072aa8d9691c9ff09,,60,2019-01-02T13:20:24+00:00,completed
snap-0a2a4d7eededea223,vol-065a6906a5a20ed58,,16,2018-12-31T13:20:28+00:00,completed
snap-0ab1d2b06ff2843b6,vol-04e140a4fc9c6ca0d,,70,2018-12-31T13:20:33+00:00,completed
snap-0043ff3d64bc13646,vol-04e140a4fc9c6ca0d,,70,2018-12-26T13:20:34+00:00,completed
snap-003b1b2a3be9f28ca,vol-0740c7f6c7b76a002,,8,2018-12-26T13:20:35+00:00,completed
snap-0395672ce3efaa027,vol-06f422c09b2e5a5f1,,20,2018-12-22T13:20:27+00:00,completed
snap-0a595b29392d878ac,vol-072aa8d9691c9ff09,,60,2018-12-22T13:20:24+00:00,completed
snap-0dd42a04150850280,vol-04e140a4fc9c6ca0d,,70,2018-12-22T13:20:34+00:00,completed
snap-0bbb77e7580280b6c,vol-03795b372a4b5ebf2,,50,2018-12-22T13:20:28+00:00,completed
snap-097fc082a311abc27,vol-0700b744f48beddeb,,85,2018-12-22T13:20:29+00:00,completed
snap-0001f5ef8fddda9cc,vol-070e83d1fd767bfb8,,20,2018-12-21T13:20:33+00:00,completed
snap-025277434abd6cdf2,vol-02aaf5b8edd0e346a,,8,2018-12-20T13:20:25+00:00,completed
snap-00950bc6321ba959c,vol-0740c7f6c7b76a002,,8,2018-12-20T13:20:34+00:00,completed
snap-06e23b9120751fdaf,vol-0aff95d65f295bb17,,16,2018-12-20T13:20:27+00:00,completed
snap-04dc52f036eea23b3,vol-0597eb8f34d135ecd,,20,2018-12-19T13:20:26+00:00,completed
snap-0257dc77bba868ebd,vol-01bf4351fbc0ea942,,250,2018-12-19T13:20:34+00:00,completed
snap-085f527e5bf8263be,vol-02e9a679dbffd8489,,100,2018-12-19T13:20:31+00:00,completed
snap-0f1a1702561e5a8e2,vol-0d22e9b22ea872b5c,,200,2018-12-19T13:20:32+00:00,completed
snap-0e7358e220726fe99,vol-06f973a2d0946145b,,40,2018-12-19T13:20:34+00:00,completed
snap-0623e24909868d570,vol-0e3e24a28c4767e5e,,40,2018-12-19T13:20:31+00:00,completed
snap-0545e1e314ca33b3b,vol-04e140a4fc9c6ca0d,,70,2018-12-18T13:20:35+00:00,completed
snap-06360c74f8e9239aa,vol-0597eb8f34d135ecd,,20,2018-12-12T13:20:26+00:00,completed
snap-096d0bc8ee4206afb,vol-0e3e24a28c4767e5e,,40,2018-12-12T13:20:31+00:00,completed
snap-0e4814d08f8c3e2e5,vol-03795b372a4b5ebf2,,50,2018-12-12T13:20:29+00:00,completed
snap-0f646ccaaea528598,vol-0aff95d65f295bb17,,16,2018-12-12T13:20:28+00:00,completed
snap-008d4613f599a4853,vol-0d22e9b22ea872b5c,,60,2018-12-12T13:20:32+00:00,completed
snap-05b4bb0aa5327f6d3,vol-02aaf5b8edd0e346a,,8,2018-12-12T13:20:26+00:00,completed
snap-0ceacb8845ab32ada,vol-065a6906a5a20ed58,,16,2018-12-12T13:20:30+00:00,completed
snap-0eca70ce547a37271,vol-06f973a2d0946145b,,40,2018-12-12T13:20:35+00:00,completed
snap-00809abd35e561cbc,vol-01bf4351fbc0ea942,,250,2018-12-12T13:20:34+00:00,completed
snap-07d4bd54cb43f1f1a,vol-0c6e40578f7933657,,250,2018-12-08T13:20:30+00:00,completed
snap-0880704cf85bb7978,vol-06f973a2d0946145b,,40,2018-12-08T13:20:35+00:00,completed
snap-0ad108d91bc6486c5,vol-0e3e24a28c4767e5e,,40,2018-12-08T13:20:31+00:00,completed
snap-0af6d01a5aa9d549d,vol-0aff95d65f295bb17,,16,2018-12-08T13:20:28+00:00,completed
snap-06446429d6c2a24dd,vol-0740c7f6c7b76a002,,8,2018-12-08T13:20:35+00:00,completed
snap-033b3aedb87ef8cb2,vol-0088665649d8db10f,,20,2018-12-06T13:20:30+00:00,completed
snap-022c6226c81875624,vol-0aff95d65f295bb17,,16,2018-12-06T13:20:29+00:00,completed
snap-097dc0958d49ab0ba,vol-065a6906a5a20ed58,,16,2018-12-04T13:20:29+00:00,completed
snap-0bf4950bfff484daa,vol-0ef1b424761f815f9,,100,2018-12-04T13:20:31+00:00,completed
snap-09dcdecfe059b23f2,vol-0c7bf0f4e2f6863bb,,40,2018-12-04T13:20:33+00:00,completed
snap-0ad4fc804a961d4d2,vol-072aa8d9691c9ff09,,60,2018-12-03T11:12:26+00:00,completed
snap-0fbeebd69c1d45f56,vol-01bf4351fbc0ea942,,250,2018-12-03T06:19:16+00:00,completed
snap-0c495e1a47a11e7fe,vol-0e3e24a28c4767e5e,,40,2018-12-02T17:14:54+00:00,completed
snap-0baa19f19ca1dee5e,vol-01bf4351fbc0ea942,,250,2018-12-02T06:19:15+00:00,completed
snap-055463c3d47be49e6,vol-01bf4351fbc0ea942,,250,2018-12-01T06:19:15+00:00,completed
snap-019d3e3579de119c2,vol-0496e868ea50b1485,,150,2018-11-30T06:26:48+00:00,completed
snap-0c59beab3f87194b7,vol-01bf4351fbc0ea942,,250,2018-11-30T06:19:16+00:00,completed
snap-0f0fe10125c34e3d5,vol-0e3e24a28c4767e5e,,40,2018-11-29T10:11:33+00:00,completed
snap-02f0005a7a4d8fb00,vol-01bf4351fbc0ea942,,250,2018-11-29T06:19:16+00:00,completed
snap-08423fc9c57e67b47,vol-01bf4351fbc0ea942,,250,2018-11-28T06:19:16+00:00,completed
snap-00e1362b0f483b107,vol-01bf4351fbc0ea942,,250,2018-11-27T06:19:16+00:00,completed
